!SIL	SIL
<UNK>	SPN
AUSTAVÊRA	a w s t a v e R A
AUSTAVÊRET	a w s t a v e R @ t
AUSTAVÊRI	a w s t a v e R i
AUTODAFÉANE	a w t u d a f e a n a
AUTODAFÉAR	a w t u d a f e a R
AVHALDSKAFÉ	A v h A l l s k a f e
AVHALDSKAFÉANE	A v h A l l s k a f e a n a
AVHALDSKAFÉAR	A v h A l l s k a f e a R
AVHALDSKAFÉEN	A v h A l l s k a f e @ n
AVLSVÊR	A v l s v @ R
AVLSVÊRANE	A v l s v e R a n a
AVLSVÊRAR	A v l s v e R a R
AVLSVÊREN	A v l s v e R @ n
AVLØS	A v l y s
AVLØSE	A v l y s a
AVLØSENDE	A v l y s E n n a
AVLØSENDES	A v l y s E n n @ s
AVLØSER	A v l y s @ R
AVLØSES	A v l y s @ s
AVLØSING	A v l y s I N
AVLØST	A v l W s t
AVLØSTE	A v l W s t a
AVLØSTES	A v l W s t @ s
AVLØSTS	A v l W s t s
AVSLØR	A v S l y R
AVSTØTT	A v s t W t
BADEVÊR	b a d e v @ R
BADEVÊRA	b a d e v e R A
BADEVÊRET	b a d e v e R @ t
BARRIÉRE	b A R R i e R a
BARRIÉREN	b A R R i e R @ n
BARRIÉRER	b A R R i e R @ R
BEARNÉSANE	b @ A R n e s a n a
BEARNÉSAR	b @ A R n e s a R
BEARNÉSSAUSANE	b @ A R n e s s a w s a n a
BEARNÉSSAUSAR	b @ A R n e s s a w s a R
BEHANDLINGSMØTER	b @ h A n n l I N s m y t @ R
BELØNT	b @ l W n t
BELØNTE	b @ l W n t a
BELØNTES	b @ l W n t @ s
BELØNTS	b @ l W n t s
BERGFLÒG	b @ R g f l u g
BERGFLÒGA	b @ R g f l u g A
BERGFLÒGET	b @ R g f l u g @ t
BERGFLÒGI	b @ R g f l u j i
BERGSTRØM	b @ R g s t R y m
BIDÉI	b i d e i
BIKKJEVÊR	b I k j e v @ R
BIKKJEVÊRA	b I k j e v e R A
BIKKJEVÊRET	b I k j e v e R @ t
BIKKJEVÊRI	b I k j e v e R i
BJØRKE	b j W R k a
BJØRKLUND	b j W R k l u n n
BJØRKMAN	b j W R k m a n
BJØRNEVÒK	b j W R n e v u k
BJØRNEVÒKA	b j W R n e v u k A
BJØRNEVÒKENE	b j W R n e v u k E n a
BJØRNEVÒKER	b j W R n e v u k @ R
BJØRNEVÒKI	b j W R n e v u dZ i
BJØRNÆS	b j W R n E s
BJØRNØ	b j W R n y
BLANDFÔRI	b l A n n f u R i
BLANKLÊR	b l A N k l @ R
BLANKLÊRA	b l A N k l e R A
BLANKLÊRET	b l A N k l e R @ t
BLANKLÊRI	b l A N k l e R i
BLAUTFÔR	b l a w t f u R
BLAUTFÔRA	b l a w t f u R A
BLAUTFÔRET	b l a w t f u R @ t
BLAUTFÔRI	b l a w t f u R i
BLAUTRÒTANE	b l a w t R u t a n a
BLAUTRÒTAR	b l a w t R u t a R
BLAUTRÒTE	b l a w t R u t a
BLAUTRÒTEN	b l a w t R u t @ n
BLAUTRÒTENT	b l a w t R u t E n t
BLAUTRÒTI	b l a w t R u t i
BLAUTRÒTNARE	b l a w t R O t n a R a
BLAUTRÒTNAST	b l a w t R O t n A s t
BLAUTRÒTNASTE	b l a w t R O t n A s t a
BLAUTRÒTNE	b l a w t R O t n a
BLEKKVISKELÊR	b l E k v I s k e l @ R
BLEKKVISKELÊRA	b l E k v I s k e l e R A
BLEKKVISKELÊRET	b l E k v I s k e l e R @ t
BLEKKVISKELÊRI	b l E k v I s k e l e R i
BLESTKOMITÉANE	b l E s t k u m i t e a n a
BLESTKOMITÉAR	b l E s t k u m i t e a R
BLÓT	b l u t
BLÒT	b l u t
BLÓTA	b l u t A
BLÒTA	b l u t A
BLÒTANDE	b l u t A n n a
BLÒTANE	b l u t a n a
BLÒTAR	b l u t a R
BLÒTAS	b l u t a s
BLÒTAST	b l u t A s t
BLÓTDYR	b l O t d y R
BLÓTDYRA	b l O t d y R A
BLÓTDYRET	b l O t d y R @ t
BLÓTDYRI	b l O t d y R i
BLÒTE	b l u t a
BLÒTEN	b l u t @ n
BLÒTENE	b l u t E n a
BLÒTER	b l u t @ R
BLÓTET	b l u t @ t
BLÒTET	b l u t @ t
BLÓTI	b l u t i
BLÒTI	b l u t i
BLÒTONE	b l u t u n a
BLÒTOR	b l u t u R
BLÆR	b l a R
BLØ	b l y
BLØR	b l y R
BLØS	b l y s
BLØTT	b l W t
BLØTTS	b l W t s
BLÅSVÊR	b l O s v @ R
BLÅSVÊRA	b l O s v e R A
BLÅSVÊRET	b l O s v e R @ t
BLÅSVÊRI	b l O s v e R i
BÔ	b u
BOKAUTODAFÉANE	b u k a w t u d a f e a n a
BOKAUTODAFÉAR	b u k a w t u d a f e a R
BOKKAFÉANE	b O k a f e a n a
BOKKAFÉAR	b O k a f e a R
BRINGBÆRGELÉ	b R I N b a R g e l e
BRINGBÆRGELÉANE	b R I N b a R g e l e a n a
BRINGBÆRGELÉAR	b R I N b a R g e l e a R
BRINGBÆRGELÉEN	b R I N b a R g e l e @ n
BRINGEBÆRGELÉANE	b R I N e b a R g e l e a n a
BRINGEBÆRGELÉAR	b R I N e b a R g e l e a R
BRÒSA	b R u s A
BRÒSE	b R u s a
BRÒSENE	b R u s E n a
BRÒSER	b R u s @ R
BRÒSONE	b R u s u n a
BRÒSOR	b R u s u R
BROTTVÊR	b R O t v @ R
BROTTVÊRA	b R O t v e R A
BROTTVÊRET	b R O t v e R @ t
BROTTVÊRI	b R O t v e R i
BROTVÊR	b R O t v @ R
BROTVÊRA	b R O t v e R A
BROTVÊRET	b R O t v e R @ t
BROTVÊRI	b R O t v e R i
BRUNDVÊR	b R u n n v @ R
BRUNDVÊRA	b R u n n v e R A
BRUNDVÊRET	b R u n n v e R @ t
BRUNDVÊRI	b R u n n v e R i
BRUNKOLTJØRE	b R u N k O l s y R a
BRUNKULLTJØRE	b R u N k u l s y R a
BRYGGEKJÊL	b R y g E dZ @ l
BRYGGEKJÊLANE	b R y g @ dZ e l a n a
BRYGGEKJÊLAR	b R y g @ dZ e l a R
BRYGGEKJÊLEN	b R y g @ dZ e l @ n
BRYGGJEKJÊL	b R y g j E dZ @ l
BRYGGJEKJÊLANE	b R y g j @ dZ e l a n a
BRYGGJEKJÊLAR	b R y g j @ dZ e l a R
BRYGGJEKJÊLEN	b R y g j @ dZ e l @ n
BRÆKENE	b R E k E n a
BRÆKER	b R E k @ R
BRØK	b R y k
BRØKEN	b R y k @ n
BRØKENE	b R y k E n a
BRØKENES	b R y k e n @ s
BRØKENS	b R y k @ n s
BRØKER	b R y k @ R
BRØKERS	b R y k a S
BRØKS	b R W k s
BRØNT	b R W n t
BRØNTE	b R W n t a
BRÅDVÊR	b R O d v @ R
BRÅDVÊRA	b R O d v e R A
BRÅDVÊRET	b R O d v e R @ t
BRÅDVÊRI	b R O d v e R i
BUFFÉANE	b u f f e a n a
BUFFÉAR	b u f f e a R
BUFÒR	b u f u R
BUFÒRA	b u f u R A
BUFÒRENE	b u f u R E n a
BUFÒRER	b u f u R @ R
BUFÒRI	b u f u R i
BUKÉANE	b u k e a n a
BUKÉAR	b u k e a R
BUVÊR	b u v @ R
BUVÊRA	b u v e R A
BUVÊRET	b u v e R @ t
BUVÊRI	b u v e R i
BYEVÊR	b y e v @ R
BYEVÊRA	b y e v e R A
BYEVÊRET	b y e v e R @ t
BYEVÊRI	b y e v e R i
BYGDEMUSÉ	b y g d e m u s e
BYGDEMUSÉA	b y g d e m u s e A
BYGDEMUSÉET	b y g d e m u s e @ t
BYGDEMUSÉI	b y g d e m u s e i
BYGGEKOMITÉANE	b y g e k u m i t e a n a
BYGGEKOMITÉAR	b y g e k u m i t e a R
BYGGJEKOMITÉ	b y g j e k u m i t e
BYGGJEKOMITÉANE	b y g j e k u m i t e a n a
BYGGJEKOMITÉAR	b y g j e k u m i t e a R
BYGGJEKOMITÉEN	b y g j e k u m i t e @ n
BYMUSÉ	b y m u s e
BYMUSÉA	b y m u s e A
BYMUSÉET	b y m u s e @ t
BYMUSÉI	b y m u s e i
BÆENE	b E E n a
BÆENES	b E e n @ s
BÆR	b a R
BÆRA	b a R A
BÆRAS	b a R a s
BÆRE	b a R a
BÆRENDE	b a R E n n a
BÆRENDES	b a R E n n @ s
BÆRENE	b a R E n a
BÆRENES	b a R e n @ s
BÆRER	b a R @ R
BÆRERS	b a R a S
BÆRES	b a R @ s
BÆRET	b a R @ t
BÆRETS	b a R E t s
BÆRING	b a R I N
BÆRS	b a S
BÆS	b E s
BØ	b y
BØA	b y A
BØAS	b y a s
BØDALEN	b y d a l @ n
BØEN	b y @ n
BØENE	b y E n a
BØENES	b y e n @ s
BØENS	b y @ n s
BØER	b y @ R
BØERS	b y a S
BØET	b y @ t
BØETS	b y E t s
BØFFELLÊR	b W f f E l l @ R
BØFFELLÊRA	b W f f @ l l e R A
BØFFELLÊRET	b W f f @ l l e R @ t
BØFFELLÊRI	b W f f @ l l e R i
BÖHM	b W h m
BØK	b y k
BØKEN	b y k @ n
BØKENE	b y k E n a
BØKENES	b y k e n @ s
BØKENS	b y k @ n s
BØKER	b y k @ R
BØKERS	b y k a S
BØKS	b W k s
BØLA	b y l A
BØLAS	b y l a s
BØLE	b y l a
BØLEN	b y l @ n
BØLENE	b y l E n a
BØLENES	b y l e n @ s
BØLENS	b y l @ n s
BØLER	b y l @ R
BØLERS	b y l a S
BØLES	b y l @ s
BØLET	b y l @ t
BØLETS	b y l E t s
BØNDENE	b W n n E n a
BØNDENES	b W n n e n @ s
BØNN	b W n
BØR	b y R
BØRA	b y R A
BØRAS	b y R a s
BØRE	b y R a
BØREN	b y R @ n
BØRENE	b y R E n a
BØRENES	b y R e n @ s
BØRENS	b y R @ n s
BØRER	b y R @ R
BØRERS	b y R a S
BØRES	b y R @ s
BØRINGENE	b y R I N E n a
BÖRJESSON	b W R j @ s s u n
BØRNES	b W R n @ s
BØRS	b W S
BØRSTAD	b W R S t a d
BØS	b y s
BØS'	b y s
BØST	b W s t
BØSTAD	b W s t a d
BØT	b y t
BØTEN	b y t @ n
BØTENE	b y t E n a
BØTENES	b y t e n @ s
BØTER	b y t @ R
BØTERS	b y t a S
BØVERDALEN	b y v a R d a l @ n
BØVERFJORD	b y v a R f j O R
BØVRE	b W v R a
BØYEVÊR	b y y e v @ R
BØYEVÊRA	b y y e v e R A
BØYEVÊRET	b y y e v e R @ t
BØYEVÊRI	b y y e v e R i
BÅLSTAD	b O l s t a d
BÅSFÔR	b O s f u R
BÅSFÔRA	b O s f u R A
BÅSFÔRANDE	b O s f u R A n n a
BÅSFÔRAR	b O s f u R a R
BÅSFÔRAS	b O s f u R a s
BÅSFÔRAST	b O s f u R A s t
BÅSFÔRE	b O s f u R a
CAFÉ-AU-LAIT	k a f e a w l A I t
CAFÉ-AU-LAITANE	k a f e a w l A I t a n a
CAFÉ-AU-LAITAR	k a f e a w l A I t a R
CAFÉ-AU-LAITEN	k a f e a w l A I t @ n
CENDRÉ	s E n n R e
CENDRÉARE	s E n n R e a R a
CENDRÉAST	s E n n R e A s t
CENDRÉASTE	s E n n R e A s t a
CÉSAR	k e s a R
CHAUSSÉANE	S a w s s e a n a
CHAUSSÉAR	S a w s s e a R
CONSOMMÉANE	k O n s O m m e a n a
CONSOMMÉAR	k O n s O m m e a R
CURAÇAOANE	k u R a k A u a n a
CURAÇAOAR	k u R a k A u a R
DALAVÊR	d a l a v @ R
DALAVÊRANE	d a l a v e R a n a
DALAVÊRAR	d a l a v e R a R
DALAVÊREN	d a l a v e R @ n
DEKKFJØR	d E k f j y R
DEKKFJØRA	d E k f j y R A
DEKKFJØRAS	d E k f j y R a s
DEKKFJØREN	d E k f j y R @ n
DEKKFJØRENE	d E k f j y R E n a
DEKKFJØRENES	d E k f j y R e n @ s
DEKKFJØRENS	d E k f j y R @ n s
DEKKFJØRER	d E k f j y R @ R
DEKKFJØRERS	d E k f j y R a S
DEKKFJØRS	d E k f j W S
DESISJONSKOMITÉANE	d e s I S O n s k u m i t e a n a
DESISJONSKOMITÉAR	d e s I S O n s k u m i t e a R
DIARÉANE	d i a R e a n a
DIARÉAR	d i a R e a R
DIATOMÉANE	d i a t u m e a n a
DIATOMÉAR	d i a t u m e a R
DISKRÉARE	d I s k R e a R a
DISKRÉAST	d I s k R e A s t
DISKRÉASTE	d I s k R e A s t a
DISTRÉARE	d I s t R e a R a
DISTRÉAST	d I s t R e A s t
DISTRÉASTE	d I s t R e A s t a
DRAGÉ	d R a g e
DRAGÉANE	d R a g e a n a
DRAGÉAR	d R a g e a R
DRAGÉEN	d R a g e @ n
DRASJÉANE	d R A S e a n a
DRASJÉAR	d R A S e a R
DREPEVÊR	d R e p e v @ R
DREPEVÊRA	d R e p e v e R A
DREPEVÊRET	d R e p e v e R @ t
DREPEVÊRI	d R e p e v e R i
DRIVFJØR	d R I v f j y R
DRIVFJØRA	d R I v f j y R A
DRIVFJØRAS	d R I v f j y R a s
DRIVFJØREN	d R I v f j y R @ n
DRIVFJØRENE	d R I v f j y R E n a
DRIVFJØRENES	d R I v f j y R e n @ s
DRIVFJØRENS	d R I v f j y R @ n s
DRIVFJØRER	d R I v f j y R @ R
DRIVFJØRERS	d R I v f j y R a S
DRIVFJØRS	d R I v f j W S
DRÒG	d R u g
DRÒGA	d R u g A
DRÒGE	d R u g a
DRÒGENE	d R u g E n a
DRÒGER	d R u g @ R
DRÒGI	d R u j i
DRÒGONE	d R u g u n a
DRÒGOR	d R u g u R
DRÓS	d R u s
DRÓSA	d R u s A
DRÓSENE	d R u s E n a
DRÓSER	d R u s @ R
DRÓSI	d R u s i
DUBLÉANE	d u b l e a n a
DUBLÉAR	d u b l e a R
DUNFJØR	d u n f j y R
DUNFJØRA	d u n f j y R A
DUNFJØRAS	d u n f j y R a s
DUNFJØREN	d u n f j y R @ n
DUNFJØRENE	d u n f j y R E n a
DUNFJØRENES	d u n f j y R e n @ s
DUNFJØRENS	d u n f j y R @ n s
DUNFJØRER	d u n f j y R @ R
DUNFJØRERS	d u n f j y R a S
DUNFJØRS	d u n f j W S
DYREFÔR	d y R e f u R
DYREFÔRA	d y R e f u R A
DYREFÔRET	d y R e f u R @ t
DYREFÔRI	d y R e f u R i
DYSMENORÉANE	d y s m e n u R e a n a
DYSMENORÉAR	d y s m e n u R e a R
DYSPNÉANE	d y s p n e a n a
DYSPNÉAR	d y s p n e a R
DYSPNÉEN	d y s p n e @ n
DÜSSELDORFAR	d y s s @ l l O R f a R
DÜSSELDORFARANE	d y s s @ l l O R f a R a n a
DÜSSELDORFARAR	d y s s @ l l O R f a R a R
DÜSSELDORFAREN	d y s s @ l l O R f a R @ n
DØ	d y
DØD	d y d
DØDEN	d y d @ n
DØDENS	d y d @ n s
DØDER	d y d @ R
DØDS	d W d s
DØHLEN	d W h l @ n
DØM	d y m
DØNT	d W n t
DØNTE	d W n t a
DØNTES	d W n t @ s
DØNTS	d W n t s
DØP	d y p
DØPE	d y p a
DØR	d y R
DØRA	d y R A
DØRAS	d y R a s
DØREN	d y R @ n
DØRENE	d y R E n a
DØRENES	d y R e n @ s
DØRENS	d y R @ n s
DØRER	d y R @ R
DØRERS	d y R a S
DØS	d y s
DØSE	d y s a
DØSEN	d y s @ n
DØSENS	d y s @ n s
DØSER	d y s @ R
DØSES	d y s @ s
ÉIT	e i t
ÉITT	e I t
EKSAMENSKOMITÉ	E k s a m E n s k u m i t e
EKSAMENSKOMITÉANE	E k s a m E n s k u m i t e a n a
EKSAMENSKOMITÉAR	E k s a m E n s k u m i t e a R
EKSAMENSKOMITÉEN	E k s a m E n s k u m i t e @ n
EKSEKUTIVKOMITÉANE	E k s e k u t I v k u m i t e a n a
EKSEKUTIVKOMITÉAR	E k s e k u t I v k u m i t e a R
EKSPOSÉI	E k s p u s e i
ELEVÊR	e l e v @ R
ELEVÊRA	e l e v e R A
ELEVÊRET	e l e v e R @ t
ELEVÊRI	e l e v e R i
ELVÊR	E l v @ R
ELVÊRA	E l v e R A
ELVÊRET	E l v e R @ t
ELVÊRI	E l v e R i
ENDEFÓR	E n n e f u R
ENGSTRÖM	E N s t R y m
ENKÉTANE	E N k e t a n a
ENKÉTAR	E N k e t a R
ENTRÉANE	E n t R e a n a
ENTRÉAR	E n t R e a R
ENTRÉBILLETTANE	E n t R e b I l l E t a n a
ENTRÉBILLETTAR	E n t R e b I l l E t a R
ENTRÉBORD	E n t R e b u R
ENTRÉBORDA	E n t R e b u R d A
ENTRÉBORDET	E n t R e b u R d a
ENTRÉBORDI	E n t R e b u R d i
ENTRÉDØRI	E n t R e d y R i
ENTRÉLYKEL	E n t R e l y k @ l
ENTRÉLYKELEN	E n t R e l y k e l @ n
ENTRÉLYKLANE	E n t R e l y k l a n a
ENTRÉLYKLAR	E n t R e l y k l a R
ENTRÉNYKEL	E n t R e n y k @ l
ENTRÉNYKELEN	E n t R e n y k e l @ n
ENTRÉNYKLANE	E n t R e n y k l a n a
ENTRÉNYKLAR	E n t R e n y k l a R
ENTRÉNØKLANE	E n t R e n W k l a n a
ENTRÉNØKLAR	E n t R e n W k l a R
ENVOYÉANE	E n v u y e a n a
ENVOYÉAR	E n v u y e a R
EPLEGELÉANE	E p l e g e l e a n a
EPLEGELÉAR	E p l e g e l e a R
ETTØRING	E t y R I N
ETTØRINGEN	E t y R I N @ n
ETTØRINGENE	E t y R I N E n a
ETTØRINGENES	E t y R I N e n @ s
ETTØRINGENS	E t y R I N @ n s
ETTØRINGER	E t y R I N @ R
ETTØRINGERS	E t y R I N a S
ETTØRINGS	E t y R I N s
FAIRTRADES	f A I R t R a d e s
FALLVÊR	f A l v @ R
FALLVÊRA	f A l v e R A
FALLVÊRET	f A l v e R @ t
FALLVÊRI	f A l v e R i
FANGLÊR	f A N l @ R
FANGLÊRA	f A N l e R A
FANGLÊRET	f A N l e R @ t
FANGLÊRI	f A N l e R i
FEITEFÔR	f aI t e f u R
FEITEFÔRA	f aI t e f u R A
FEITEFÔRET	f aI t e f u R @ t
FEITEFÔRI	f aI t e f u R i
FEITTLÊR	f aI t l @ R
FEITTLÊRA	f aI t l e R A
FEITTLÊRET	f aI t l e R @ t
FEITTLÊRI	f aI t l e R i
FEMTIØRENE	f E m t i y R E n a
FEMTIØRENES	f E m t i y R e n @ s
FEMTIØRING	f E m t i y R I N
FEMTIØRINGEN	f E m t i y R I N @ n
FEMTIØRINGENE	f E m t i y R I N E n a
FEMTIØRINGENES	f E m t i y R I N e n @ s
FEMTIØRINGENS	f E m t i y R I N @ n s
FEMTIØRINGER	f E m t i y R I N @ R
FEMTIØRINGERS	f E m t i y R I N a S
FEMTIØRINGS	f E m t i y R I N s
FEMTIÅRSJUBILÉ	f E m t i O R S u b i l e
FEMTIÅRSJUBILÉA	f E m t i O R S u b i l e A
FEMTIÅRSJUBILÉET	f E m t i O R S u b i l e @ t
FEMTIÅRSJUBILÉI	f E m t i O R S u b i l e i
FEMØRING	f e m y R I N
FEMØRINGEN	f e m y R I N @ n
FEMØRINGENE	f e m y R I N E n a
FEMØRINGENES	f e m y R I N e n @ s
FEMØRINGENS	f e m y R I N @ n s
FEMØRINGER	f e m y R I N @ R
FEMØRINGERS	f e m y R I N a S
FEMØRINGS	f e m y R I N s
FERDAVÊR	f a R d a v @ R
FERDAVÊRA	f a R d a v e R A
FERDAVÊRET	f a R d a v e R @ t
FERDAVÊRI	f a R d a v e R i
FESTKOMITÉANE	f E s t k u m i t e a n a
FESTKOMITÉAR	f E s t k u m i t e a R
FIKSÉRVÆSKA	f I k s e R v a s k A
FIKSÉRVÆSKE	f I k s e R v a s k a
FIKSÉRVÆSKENE	f I k s e R v a s k E n a
FIKSÉRVÆSKER	f I k s e R v a s k @ R
FIKSÉRVÆSKONE	f I k s e R v a s k u n a
FIKSÉRVÆSKOR	f I k s e R v a s k u R
FINANSKOMITÉANE	f i n A n s k u m i t e a n a
FINANSKOMITÉAR	f i n A n s k u m i t e a R
FINVÊR	f I n v @ R
FINVÊRA	f I n v e R A
FINVÊRET	f I n v e R @ t
FINVÊRI	f I n v e R i
FISKEVÊR	f I s k e v @ R
FISKEVÊRA	f I s k e v e R A
FISKEVÊRET	f I s k e v e R @ t
FISKEVÊRI	f I s k e v e R i
FJØR	f j y R
FJØRA	f j y R A
FJØRAS	f j y R a s
FJØRDRAKT	f j W R d R A k t
FJØRDRAKTA	f j W R d R A k t A
FJØRDRAKTAS	f j W R d R A k t a s
FJØRDRAKTEN	f j W R d R A k t @ n
FJØRDRAKTENE	f j W R d R A k t E n a
FJØRDRAKTENES	f j W R d R A k t e n @ s
FJØRDRAKTENS	f j W R d R A k t @ n s
FJØRDRAKTER	f j W R d R A k t @ R
FJØRDRAKTERS	f j W R d R A k t a S
FJØRDRAKTS	f j W R d R A k t s
FJØRE	f j y R a
FJØREKNAPP	f j y R @ k n A p
FJØREKNAPPEN	f j y R @ k n A p @ n
FJØREKNAPPENE	f j y R @ k n A p E n a
FJØREKNAPPENES	f j y R @ k n A p e n @ s
FJØREKNAPPENS	f j y R @ k n A p @ n s
FJØREKNAPPER	f j y R @ k n A p @ R
FJØREKNAPPERS	f j y R @ k n A p a S
FJØREKNAPPS	f j y R @ k n A p s
FJØREN	f j y R @ n
FJØRENDE	f j y R E n n a
FJØRENDES	f j y R E n n @ s
FJØRENE	f j y R E n a
FJØRENES	f j y R e n @ s
FJØRENS	f j y R @ n s
FJØRER	f j y R @ R
FJØRERS	f j y R a S
FJØRES	f j y R @ s
FJØRET	f j y R @ t
FJØRETE	f j y R e t a
FJØRETES	f j y R e t @ s
FJØRETS	f j y R E t s
FJØREVEIEN	f j y R e v aI @ n
FJØRFE	f j W R f a
FJØRFEA	f j W R f e A
FJØRFEAS	f j W R f e a s
FJØRFEENE	f j W R f e E n a
FJØRFEENES	f j W R f e e n @ s
FJØRFEET	f j W R f e @ t
FJØRFEETS	f j W R f e E t s
FJØRFES	f j W R f @ s
FJØRHAM	f j W R h a m
FJØRHAMMEN	f j W R h A m m @ n
FJØRHAMMENE	f j W R h A m m E n a
FJØRHAMMENES	f j W R h A m m e n @ s
FJØRHAMMENS	f j W R h A m m @ n s
FJØRHAMMER	f j W R h A m m @ R
FJØRHAMMERS	f j W R h A m m a S
FJØRHAMS	f j W R h A m s
FJØRING	f j y R I N
FJØRLETT	f j W R l E t
FJØRLETTE	f j W R l E t a
FJØRLETTES	f j W R l E t @ s
FJØRLETTS	f j W R l E t s
FJØRMADRASS	f j W R m A d R A s
FJØRMADRASS'	f j W R m A d R A s
FJØRMADRASSEN	f j W R m A d R A s s @ n
FJØRMADRASSENE	f j W R m A d R A s s E n a
FJØRMADRASSENES	f j W R m A d R A s s e n @ s
FJØRMADRASSENS	f j W R m A d R A s s @ n s
FJØRMADRASSER	f j W R m A d R A s s @ R
FJØRMADRASSERS	f j W R m A d R A s s a S
FJØRS	f j W S
FJØRSKY	f j W R S y
FJØRSKYA	f j W R S y A
FJØRSKYAS	f j W R S y a s
FJØRSKYEN	f j W R S y @ n
FJØRSKYENE	f j W R S y E n a
FJØRSKYENES	f j W R S y e n @ s
FJØRSKYENS	f j W R S y @ n s
FJØRSKYER	f j W R S y @ R
FJØRSKYERS	f j W R S y a S
FJØRSKYS	f j W R S y s
FJØRTOFT	f j W R t O f t
FJØRVEKT	f j W R v E k t
FJØRVEKTA	f j W R v @ k t A
FJØRVEKTAS	f j W R v @ k t a s
FJØRVEKTEN	f j W R v E k t @ n
FJØRVEKTENE	f j W R v @ k t E n a
FJØRVEKTENES	f j W R v @ k t e n @ s
FJØRVEKTENS	f j W R v E k t @ n s
FJØRVEKTER	f j W R v E k t @ R
FJØRVEKTERE	f j W R v @ k t e R a
FJØRVEKTEREN	f j W R v @ k t e R @ n
FJØRVEKTERENS	f j W R v @ k t e R @ n s
FJØRVEKTERER	f j W R v @ k t e R @ R
FJØRVEKTERERS	f j W R v @ k t e R a S
FJØRVEKTERES	f j W R v @ k t e R @ s
FJØRVEKTERNE	f j W R v @ k t a R n a
FJØRVEKTERNES	f j W R v @ k t a R n @ s
FJØRVEKTERS	f j W R v @ k t a S
FJØRVEKTKLASSA	f j W R v @ k t k l A s s A
FJØRVEKTKLASSAS	f j W R v @ k t k l A s s a s
FJØRVEKTKLASSE	f j W R v @ k t k l A s s a
FJØRVEKTKLASSEN	f j W R v @ k t k l A s s @ n
FJØRVEKTKLASSENE	f j W R v @ k t k l A s s E n a
